"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0,0.256446938075524,1.54095725146912,6.33990535322519,9.9734918230979,24.4064049899775,27.0524871420751,37.8415470842463,49.117126387821,59.7495753057984,69.4314863778312,88.4882824733763,114.712261798936,131.936772901683,138.404449184071,139.853980021801,140.756766673297,181.763478486798,190.077443239822,192.664281118782,193.419965563103,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,25.2550213779312,200.172686344258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,5.05321774581027,16.0518255761803,38.959985081783,48.1775593537043,61.4053539753507,75.6080586488098,88.0632377294631,89.6049934212527,102.623884383721,126.262791446445,202.288445417659,202.993496861066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,8.47808324309262,33.2994249074668,113.085153337007,138.316067177085,166.993498580937,167.788802448147,199.360040151089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,94.1302073818604,105.454719957828,115.182054842391,141.740276143799,150.47680991767,179.038564948101,197.86841058516,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,20.8746405409003,24.5007662186619,38.635752255793,40.5738646455712,66.852760087796,71.8945368547486,85.276921754362,102.854571104264,135.997772555065,147.791055216359,153.943857171542,190.154529214055,201.94780724632,208.00060644797,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3.61887257381381,117.589335427007,126.42373212185,187.7529320786,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,13.4687084424035,33.3060074451483,63.4521366286917,64.2493280436072,83.6033324699395,112.057778969777,142.654056906356,167.673070368838,175.194063327275,184.337135895961,192.006541263578,204.08842220444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,17.8418200438371,33.5351038697184,38.7845991167933,48.4201154295966,75.2374557162893,92.1565041914826,103.66139220199,149.658184181958,150.122961355027,179.497233688117,190.893691230031,196.631338996131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,18.0915842796324,29.1332008961542,107.732065610211,120.934390101207,134.460764587054,164.407585301377,189.867683619692,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
