"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
0,8.08828582324749,21.5276146982201,32.9053847975889,38.300211426788,50.9834750057514,55.9952718592565,111.44120685605,121.660560535197,122.378623448678,123.707611305073,127.614893732026,135.516581772772,144.713208288411,155.955565321407,181.738429778401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,29.5146914182191,42.354725159887,77.7638444023092,79.4330086743344,112.046333493649,126.213826441282,149.670625561809,156.892245840242,161.162746138832,171.681600362024,194.265893026218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,17.1636367767098,26.7059544060175,36.2027626439249,41.1275449210098,46.1889988790517,49.1227285239165,62.1700883607156,64.2988410542495,88.9039192845325,112.204710085765,113.641649227478,135.190347454071,144.243936140162,149.263872571361,155.596249808629,169.707538891746,183.897379241206,206.493945612572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,4.48908493854105,92.7018723908358,105.269337487058,108.62039806752,139.101318637491,211.523999916496,215.473664944028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,25.8883544980528,31.0919663394781,114.16720223109,115.76677577066,192.387232752588,206.038724780154,207.500302763322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0.414657321600443,9.01363512392176,27.4313277545647,35.0779137223927,39.9117135905588,50.1373598349208,74.7077796596941,81.1448720551934,119.251255998501,128.461968349406,172.958403316543,201.679300193947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,131.301245275409,159.261670611323,166.654071393878,205.30152104648,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,13.6249582655728,18.3109778910875,21.0202931612416,100.400193366646,106.335172136738,147.447669546726,182.495263593129,190.465930983686,193.212106752398,206.61620337868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,17.2181815086844,25.4933195590093,33.5691854490694,39.2963867581245,41.228314437231,49.9797730230543,56.4871918865297,69.6827716924523,123.535712952979,132.063043134721,134.020693449737,152.003053331341,161.620988442667,162.697802658298,206.930023491761,207.092199240859,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,18.1678080017565,21.0286636450418,22.5298982200833,25.7653587259041,30.2974323875891,34.6912595158131,77.1922455603817,88.8480608875016,102.381859715803,133.46422422881,137.160876386042,147.38295169236,163.489028602612,176.323246513778,181.108389101276,186.182163079092,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
