"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.780133702093735,0.789568132953718,0.536800397094339,0.0436696500983089,0.770514916162938,0.479888689471409,0.153971403138712,0.448387883603573,0.852704626275226,0.300305298063904
0.242461314192042,0.819036701694131,0.31341692735441,0.643084651557729,0.678314545657486,0.922833502758294,0.560168385040015,0.990922671277076,0.0766054925043136,0.676436710171402
0.691596768330783,0.813597632339224,0.380950742168352,0.372000914765522,0.428784057032317,0.382806592388079,0.395130837801844,0.645745282992721,0.501696023857221,0.176772073376924
0.462854600977153,0.078075516037643,0.276444739662111,0.319319116184488,0.299062487436458,0.847172442590818,0.839229228906333,0.0893740458413959,0.0366611471399665,0.151921694166958
0.448399784509093,0.588595668785274,0.460852010641247,0.685712919104844,0.802226366475224,0.0933943539857864,0.787927013356239,0.984716223785654,0.89833897142671,0.447414285037667
0.77341504371725,0.279878125526011,0.973748669261113,0.870858134934679,0.132591842673719,0.761614219751209,0.388365927850828,0.109651778824627,0.94272535154596,0.559105037013069
0.06797238253057,0.162041380535811,0.829952643252909,0.639551420230418,0.975618105148897,0.395628550322726,0.443096758564934,0.032865057233721,0.603673870675266,0.439137311419472
0.831069902749732,0.0395808950997889,0.546413867967203,0.344950746744871,0.766865220619366,0.609865453094244,0.593712679808959,0.632291763788089,0.165380934253335,0.947307620430365
0.54277409799397,0.684815757675096,0.728474461473525,0.448520896257833,0.955199906835333,0.0347572851460427,0.335846460657194,0.531873820582405,0.15102567570284,0.442091093631461
0.577611553249881,0.570885432651266,0.962175454711542,0.36799202952534,0.385240718256682,0.145420134998858,0.361024315934628,0.917050989577547,0.936985574429855,0.80369648640044
0.308891613967717,0.884702771436423,0.437704848358408,0.994115894427523,0.955693418858573,0.149107496486977,0.80250027263537,0.0213457171339542,0.56169777084142,0.443629160523415
0.0119389102328569,0.000133421504870057,0.747720116749406,0.317229865118861,0.973867675289512,0.677888705162331,0.0768785395193845,0.419799299445003,0.84506328869611,0.648165000136942
0.125496840337291,0.842747728340328,0.944162512198091,0.578181143850088,0.668683184310794,0.38256075209938,0.625360575504601,0.669413436669856,0.612572077428922,0.325097394408658
0.938794981688261,0.67357962904498,0.557332733180374,0.982840999495238,0.814775666221976,0.991181413410231,0.163690274348482,0.884610960725695,0.675908838631585,0.0265479139052331
0.56909229955636,0.638667286606506,0.76668803486973,0.0851287799887359,0.985710612963885,0.827942196745425,0.499111945508048,0.667962594423443,0.00369654572568834,0.0931627377867699
0.483275226783007,0.111663225805387,0.820623419480398,0.973026570631191,0.44220151216723,0.787184280809015,0.783283888362348,0.671488279476762,0.833921903278679,0.515189932659268
0.0287777346093208,0.222747425083071,0.688959010876715,0.385455016978085,0.0731437923386693,0.625493372790515,0.49166155862622,0.608631720067933,0.631633756915107,0.336050327634439
0.426164442207664,0.898370697628707,0.148528979159892,0.12439701682888,0.295715242158622,0.622541246935725,0.0915612697135657,0.455128858797252,0.665659048128873,0.00669932342134416
0.405131757957861,0.246135491179302,0.615688473917544,0.191535827936605,0.756180524127558,0.500868537696078,0.20908598927781,0.610845817252994,0.182851150631905,0.062974609201774
0.963470887392759,0.132147392025217,0.443282579537481,0.0816414807923138,0.989469948224723,0.790975308511406,0.0728550662752241,0.983328310539946,0.737552773673087,0.96523866453208
0.60771565628238,0.832161087309942,0.0901634274050593,0.819571524159983,0.616636808728799,0.742293245857581,0.0422327027190477,0.13501587533392,0.958936984185129,0.675764215644449
0.919032322941348,0.575506140943617,0.941008640220389,0.933027879102156,0.268288421444595,0.643547995714471,0.454771040705964,0.997335376217961,0.717386433621868,0.51411980506964
0.342071071499959,0.85689691035077,0.246400447329506,0.795994700165465,0.914221412269399,0.582514974055812,0.903616941766813,0.186330031137913,0.0738370195031166,0.837213065242395
0.0696286468300968,0.602014452684671,0.188508006045595,0.0802069767378271,0.0387536899652332,0.981319351820275,0.203407222172245,0.347758021904156,0.00349029828794301,0.42171885445714
